mouse_group,task,region,n_total,class_counts,balanced_acc,auc,min_class_n,p_bal,p_auc,null_bal_mean,null_bal_std,null_auc_mean,null_auc_std
ALL,HC_noreport_vs_incorr_rej,ALL_REGIONS_COMBINED,1434,"{0.0: 1242, 1.0: 192}",0.6246036778693722,0.7107376875924751,192,0.009900990099009901,0.009900990099009901,0.5077916930881421,0.043226569484597896,0.5049714648065948,0.051063000328819795
ALL,MC_hit_vs_miss,M1,856,"{0.0: 447, 1.0: 409}",0.6819783197831979,0.7212737127371275,409,0.009900990099009901,0.009900990099009901,0.509569105691057,0.03746459701771973,0.5085758807588077,0.04302423138627921
ALL,MC_hit_vs_miss,V1,856,"{0.0: 447, 1.0: 409}",0.5294037940379404,0.5826558265582655,409,0.2376237623762376,0.039603960396039604,0.49705013550135496,0.03661213943054003,0.5010135501355014,0.0425767530498173
ALL,MC_hit_vs_miss,VISa,856,"{0.0: 447, 1.0: 409}",0.5249322493224933,0.5604336043360434,409,0.297029702970297,0.13861386138613863,0.502231707317073,0.03883085126104867,0.5062127371273712,0.04332212643479046
ALL,MC_hit_vs_miss,VISam,856,"{0.0: 447, 1.0: 409}",0.5792682926829269,0.6262872628726288,409,0.019801980198019802,0.009900990099009901,0.5034796747967479,0.03923460338608665,0.5068428184281842,0.04301062103123993
ALL,MC_hit_vs_miss,VISpm,856,"{0.0: 447, 1.0: 409}",0.4976964769647696,0.5173441734417344,409,0.6138613861386139,0.45544554455445546,0.5077073170731708,0.03904971927173633,0.5098983739837398,0.046698317670086004
ALL,MC_hit_vs_miss,ALL_REGIONS_COMBINED,856,"{0.0: 447, 1.0: 409}",0.5410569105691057,0.6238482384823848,409,0.2079207920792079,0.009900990099009901,0.5033794037940379,0.04263837662997419,0.5087425474254743,0.04602175601834571
cfm005mjr,HC_hit_vs_MC_hit,M1,372,"{0.0: 170, 1.0: 202}",0.3988522238163558,0.3601147776183644,170,0.9603960396039604,0.9900990099009901,0.4964454806312769,0.05794238689767063,0.4974964131994261,0.06161304881311115
cfm005mjr,HC_hit_vs_MC_hit,V1,372,"{0.0: 170, 1.0: 202}",0.5086083213773314,0.46915351506456243,170,0.39603960396039606,0.6633663366336634,0.49311334289813474,0.05171479865364215,0.4927474892395983,0.05730812971275703
cfm005mjr,HC_hit_vs_MC_hit,VISa,372,"{0.0: 170, 1.0: 202}",0.5355093256814921,0.5746054519368723,170,0.25742574257425743,0.13861386138613863,0.5055918220946916,0.05445623503704249,0.508271162123386,0.06032460777119575
cfm005mjr,HC_hit_vs_MC_hit,VISam,372,"{0.0: 170, 1.0: 202}",0.5868005738880918,0.5997130559540889,170,0.04950495049504951,0.07920792079207921,0.5039167862266857,0.058566856113813764,0.5049067431850789,0.0694472559131418
cfm005mjr,HC_hit_vs_MC_hit,VISpm,372,"{0.0: 170, 1.0: 202}",0.5451936872309899,0.5322812051649928,170,0.16831683168316833,0.25742574257425743,0.4953479196556671,0.05099356924020549,0.49261836441893836,0.058839474953250176
cfm005mjr,HC_hit_vs_MC_hit,ALL_REGIONS_COMBINED,372,"{0.0: 170, 1.0: 202}",0.430416068866571,0.44045911047345765,170,0.9306930693069307,0.8613861386138614,0.5080487804878048,0.055260906966868056,0.5062051649928263,0.0652906777429756
cfm005mjr,HC_vs_LC_noreport,M1,435,"{0.0: 121, 1.0: 314}",0.5148809523809523,0.5846560846560847,121,0.44554455445544555,0.1485148514851485,0.5003670634920635,0.060704665016107405,0.5023809523809523,0.07099682124474412
cfm005mjr,HC_vs_LC_noreport,V1,435,"{0.0: 121, 1.0: 314}",0.5357142857142857,0.6170634920634921,121,0.32673267326732675,0.039603960396039604,0.5022619047619048,0.0550215405950548,0.4988359788359788,0.06947203533527428
cfm005mjr,HC_vs_LC_noreport,VISa,435,"{0.0: 121, 1.0: 314}",0.6299603174603174,0.619047619047619,121,0.0297029702970297,0.04950495049504951,0.4895138888888889,0.06408703360674228,0.4904100529100529,0.07350805928101692
cfm005mjr,HC_vs_LC_noreport,VISam,435,"{0.0: 121, 1.0: 314}",0.5773809523809523,0.6197089947089947,121,0.0891089108910891,0.009900990099009901,0.5012599206349208,0.05122907809189403,0.500813492063492,0.06212003105583114
cfm005mjr,HC_vs_LC_noreport,VISpm,435,"{0.0: 121, 1.0: 314}",0.47023809523809523,0.47288359788359785,121,0.7821782178217822,0.7227722772277227,0.5123511904761905,0.05520445586007076,0.5130357142857142,0.06959811009379076
cfm005mjr,HC_vs_LC_noreport,ALL_REGIONS_COMBINED,435,"{0.0: 121, 1.0: 314}",0.5496031746031746,0.5476190476190476,121,0.16831683168316833,0.2376237623762376,0.49846230158730154,0.05784170444593706,0.499318783068783,0.06658929428997247
cfm005mjr,LC_noreport_vs_corr_rej,M1,190,"{0.0: 121, 1.0: 69}",0.44940476190476186,0.39583333333333337,69,0.801980198019802,0.8613861386138614,0.510625,0.08452931634475709,0.5083035714285714,0.09981318913520466
cfm005mjr,LC_noreport_vs_corr_rej,V1,190,"{0.0: 121, 1.0: 69}",0.39285714285714285,0.4255952380952381,69,0.8811881188118812,0.7722772277227723,0.4923809523809524,0.0826216635375631,0.494672619047619,0.09381969725926886
cfm005mjr,LC_noreport_vs_corr_rej,VISa,190,"{0.0: 121, 1.0: 69}",0.3869047619047619,0.3988095238095238,69,0.8910891089108911,0.8217821782178217,0.48205357142857147,0.08586549885221997,0.47726190476190483,0.09796009675146077
cfm005mjr,LC_noreport_vs_corr_rej,VISam,190,"{0.0: 121, 1.0: 69}",0.29464285714285715,0.30952380952380953,69,0.9900990099009901,0.9504950495049505,0.509345238095238,0.09841161633749712,0.5023809523809524,0.11058059644737678
cfm005mjr,LC_noreport_vs_corr_rej,VISpm,190,"{0.0: 121, 1.0: 69}",0.5297619047619048,0.44642857142857134,69,0.32673267326732675,0.7524752475247525,0.4918154761904763,0.08675416562727582,0.4900595238095239,0.10201451935809895
cfm005mjr,LC_noreport_vs_corr_rej,ALL_REGIONS_COMBINED,190,"{0.0: 121, 1.0: 69}",0.38095238095238093,0.39583333333333337,69,0.9900990099009901,0.9207920792079208,0.5060714285714286,0.07940676980398427,0.5009523809523809,0.10202637936420071
